article:ID;ee:string[];key:string;title:string
8;https://doi.org/10.1007/BF00264322;journals/acta/Biskup78;On the Complementation Rule for Multivalued Dependencies in Database Relations.
65;https://doi.org/10.1007/BF01213204;journals/acta/HullS94;Domain Independence and the Relational Calculus.
75;https://doi.org/10.1007/BF00288933|https://www.wikidata.org/entity/Q56340270;journals/acta/FinkelB74;Quad Trees: A Data Structure for Retrieval on Composite Keys.
126;https://doi.org/10.1007/BF00288743;journals/acta/BreitbartR74;Algorithms for Fast Evaluation of Boolean Expressions.
144;https://doi.org/10.1007/BF00289018;journals/acta/OvermarsSBK89;Maintaining Range Trees in Secondary Memory. Part I: Partitions.
151;https://doi.org/10.1007/BF00264251;journals/acta/Guting84;Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
154;https://doi.org/10.1007/BF00264291|https://www.wikidata.org/entity/Q55951021;journals/acta/Wirth71;The Programming Language Pascal.
176;https://doi.org/10.1007/BF00265771;journals/acta/DenningKLPS76;Optimal Multiprogramming.
200;https://doi.org/10.1007/BF00263991;journals/acta/BentleyM80;Efficient Worst-Case Data Structures for Range Searching.
251;https://doi.org/10.1007/BF00263588;journals/acta/GareyG74;Performance Bounds on the Splitting Algorithm for Binary Testing.
252;https://doi.org/10.1007/BF01257085;journals/acta/Marque-Pucheu83;Rational Set of Trees and the Algebraic Semantics of Logic Programming.
276;https://doi.org/10.1007/BF00289266;journals/acta/LevinG81;A Proof Technique for Communicating Sequential Processes.
295;https://doi.org/10.1007/BF00263192;journals/acta/Nicolas82;Logic for Improving Integrity Checking in Relational Data Bases.
307;https://doi.org/10.1007/BF00289574;journals/acta/LeeuwenO82;Stratified Balanced Search Trees.
321;https://doi.org/10.1007/BF00263927;journals/acta/Kuspert83;Storage Utilization in B*-Trees with a Generalized Overflow Technique.
329;https://doi.org/10.1007/BF00288534;journals/acta/GonnetRG80;An Algorithmic and Complexity Analysis of Interpolation Search.
355;https://doi.org/10.1007/BF00289019;journals/acta/SmidO89;Maintaining Range Trees in Secondary Memory. Part II: Lower Bounds.
358;https://doi.org/10.1007/BF00269807;journals/acta/Wright81;Binary Search Trees in Secondary Memory.
365;https://doi.org/10.1007/s002360050078;journals/acta/Orman97;Relational Database Constraints as Counterexamples.
403;https://doi.org/10.1007/BF00263762;journals/acta/BayerS77;Concurrency of Operations on B-Trees.
424;https://doi.org/10.1007/BF01185682;journals/acta/DuC92;A Model and a Fast Algorithm for Multiple Errors Spelling Correction.
432;https://doi.org/10.1007/BF01178777;journals/acta/OukselM92;A Robust and Efficient Spatial Data Structure.
448;https://doi.org/10.1007/BF01178680;journals/acta/Qian91;The Expressive Power of the Bounded-Iteration Construct.
512;https://doi.org/10.1007/BF00263763|https://www.wikidata.org/entity/Q55920347;journals/acta/LeeW77;Worst-Case Analysis for Region and Partial Region Searches in Multidimensional Binary Search Trees and Balanced Quad Trees.
518;https://doi.org/10.1007/BF00572988;journals/acta/Salzberg89;Merging Sorted Runs Using Large Main Memory.
560;nan;journals/acta/Earley73;Relational Level Data Structures for Programming Languages
563;https://doi.org/10.1007/BF00271339;journals/acta/EveK77;On Computing the Transitive Closure of a Relation.
584;https://doi.org/10.1007/BF00289586;journals/acta/KedemS81;A Characterization of Database Graphs Admitting a Simple Locking Protocol.
616;https://doi.org/10.1007/BF00264354;journals/acta/OvermarsL82;Dynamic Multi-Dimensional Data Structures Based on Quad- and 
634;https://doi.org/10.1007/BF00289064;journals/acta/Ellis80;Concurrent Search and Insertion in 2-3 Trees.
684;https://doi.org/10.1007/BF00289146;journals/acta/Baeza-Yates89a;The Expected Behaviour of B+-Trees.
693;https://doi.org/10.1007/BF00264295;journals/acta/DammJ83;A Sound and Relatively * Complete Hoare-Logic for a Language With Higher Type Procedures.
718;https://doi.org/10.1007/BF00263925;journals/acta/KungP83;An Optimality Theory of Concurrency Control for Databases.
745;https://doi.org/10.1007/BF00279950;journals/acta/ChanH88;On Generating Database Schemes Bounded or Constant-time-maintainable by Extensibility.
758;https://doi.org/10.1007/s002360050048|https://www.wikidata.org/entity/Q56600462;journals/acta/ONeilCGO96;The Log-Structured Merge-Tree (LSM-Tree).
762;https://doi.org/10.1007/BF00264226;journals/acta/MeghiniT85;Querying Fragmented Relations in a Distributed Database.
834;https://doi.org/10.1007/BF00264564;journals/acta/LauerC75;Formal Semantics of a Class of High-Level Primitives for Coordinating Concurrent Processes
841;https://doi.org/10.1007/BF00290709;journals/acta/Vidyasankar87;Generalized Theory of Serializability.
849;https://doi.org/10.1007/BF00264253;journals/acta/CasanovaB80;General Purpose Schedulers for Database Systems.
906;https://doi.org/10.1007/BF00264494;journals/acta/MannaW81;Problematic Features of Programming Languages: A Situational-Calculus Approach.
918;https://doi.org/10.1007/BF00289412;journals/acta/MannilaR83;On the Relationship of Minimum and Optimum Covers for a Set of Functional Dependencies.
989;https://doi.org/10.1007/BF00290729;journals/acta/Vardi83;Inferring Multivalued Dependencies From Functional and Join Dependencies.
992;https://doi.org/10.1007/BF00289243;journals/acta/Tennent77;Language Design Methods Based on Semantic Principles.
1014;https://doi.org/10.1007/BF00264279;journals/acta/Flajolet83;On the Performance Evaluation of Extendible Hashing and Trie Searching.
1083;https://doi.org/10.1007/BF00289075;journals/acta/Yao78;On Random 2-3 Trees.
1096;https://doi.org/10.1007/BF00263742;journals/acta/DarlingtonB76;A System which Automatically Improves Programs.
1100;https://doi.org/10.1007/BF00288958;journals/acta/PurdomBR81;Backtracking with Multi-Level Dynamic Search Rearrangement.
1141;https://doi.org/10.1007/BF00289509|https://www.wikidata.org/entity/Q55878145;journals/acta/Bayer72;Symmetric Binary B-Trees: Data Structure and Maintenance Algorithms.
1183;https://doi.org/10.1007/BF00288683|https://www.wikidata.org/entity/Q56039646;journals/acta/BayerM72;Organization and Maintenance of Large Ordered Indices.
1256;https://doi.org/10.1007/BF00288974;journals/acta/RothKS89;Null Values in Nested Relational Databases.
1266;https://doi.org/10.1007/BF00265077;journals/acta/WijngaardenMPKSLMF75;Revised Report on the Algorithmic Language ALGOL 68
1284;https://doi.org/10.1007/BF00289507|https://www.wikidata.org/entity/Q56656274;journals/acta/Hoare72;Proof of Correctness of Data Representations.
1297;https://doi.org/10.1007/BF00264563;journals/acta/Mehlhorn75;Nearly Optimal Binary Search Trees.
1359;https://doi.org/10.1007/BF00288968;journals/acta/HuddlestonM82;A New Data Structure for Representing Sorted Lists.
1365;https://doi.org/10.1007/BF00289519|https://www.wikidata.org/entity/Q56047771;journals/acta/Dijkstra71;Hierarchical Ordering of Sequential Processes.
1400;https://doi.org/10.1007/BF00268134;journals/acta/OwickiG76;An Axiomatic Proof Technique for Parallel Programs I.
1409;nan;journals/acta/HoareW73;An Axiomatic Definition of the Programming Language PASCAL
1472;https://doi.org/10.1007/s002360050076;journals/acta/LeveneL97;The Additivity Problem for Functional Dependencies in Incomplete Relations.
1488;https://doi.org/10.1007/BF01893887;journals/acta/HulsmannS91;Theoretical Foundations of Handling Large Substitution Sets in Temporal Integrity Monitoring.
10884;http://doi.ieeecomputersociety.org/10.1109/69.87984|https://doi.org/10.1109/69.87984;journals/tkde/GomezW89;Automatic Programming for End Users: The TOAD System.
10891;http://doi.ieeecomputersociety.org/10.1109/69.469837|https://doi.org/10.1109/69.469837;journals/tkde/GongQ95;Enriching the Expressive Power of Security Labels.
10893;http://doi.ieeecomputersociety.org/10.1109/69.536245|https://doi.org/10.1109/69.536245;journals/tkde/HsuCT96;A Knowledge-Based Approach for Retrieving Images by Content.
10901;nan;journals/tkde/FanS93a;Corrections to "An Efficient Algorithm for Matching Multiple Patterns".
10909;http://doi.ieeecomputersociety.org/10.1109/69.687980|https://doi.org/10.1109/69.687980;journals/tkde/ChenD98;Common Subexpression Processing in Multiple-Query Processing.
10913;http://doi.ieeecomputersociety.org/10.1109/69.842254|https://doi.org/10.1109/69.842254;journals/tkde/BertinoFS00;MPGS: An Interactive Tool for the Specification and Generation of Multimedia Presentations.
10914;http://doi.ieeecomputersociety.org/10.1109/69.738358|https://doi.org/10.1109/69.738358;journals/tkde/ChangSWZ98;Data Resource Selection in Distributed Visual Information Systems.
10917;http://doi.ieeecomputersociety.org/10.1109/69.277778|https://doi.org/10.1109/69.277778;journals/tkde/Kumar94;G-Tree: A New Data Structure for Organizing Multidimensional Data.
10919;http://doi.ieeecomputersociety.org/10.1109/69.591451|https://doi.org/10.1109/69.591451;journals/tkde/WuYP97;Divergence Control Algorithms for Epsilon Serializability.
10925;http://doi.ieeecomputersociety.org/10.1109/69.567059|https://doi.org/10.1109/69.567059;journals/tkde/HadzikadicB97;Learning to Predict: INC2.5.
10926;http://doi.ieeecomputersociety.org/10.1109/69.599935|https://doi.org/10.1109/69.599935;journals/tkde/LorentzosM97;SQL Extension for Interval Data.
10932;http://doi.ieeecomputersociety.org/10.1109/69.553157|https://doi.org/10.1109/69.553157;journals/tkde/ShenL96;A Metapattern-Based Automated Discovery Loop for Integrated Data Mining - Unsupervised Learning of Relational Patterns.
10935;http://doi.ieeecomputersociety.org/10.1109/69.476503|https://doi.org/10.1109/69.476503;journals/tkde/ProperW95;A General Theory for Evolving Application Models.
10943;http://doi.ieeecomputersociety.org/10.1109/69.485637|https://doi.org/10.1109/69.485637;journals/tkde/BertinoBFS96;A Temporal Access Control Mechanism for Database Systems.
