:ID;author:string
6753663;Joachim Biskup
6753765;Richard Hull 0001
6753766;Jianwen Su
6753783;Raphael A. Finkel
6753784;Jon Louis Bentley
6753821;Linqiang Pan
6753822;Artiom Alhazov
6753871;Yuri Breitbart
6753872;Allen Reiter
6753903;Mark H. Overmars
6753904;Michiel H. M. Smid
6753905;Mark de Berg
6753906;Marc J. van Kreveld
6753917;Ralf Hartmut Güting
6753922;Niklaus Wirth
6753960;Peter J. Denning
6753962;Jacques Leroudier
6753964;Rajan Suri
6753963;Dominique Potier
6753961;Kevin C. Kahn
6753998;Hermann A. Maurer
6754091;Ronald L. Graham
6754090;M. R. Garey
6754092;G. Marque-Pucheu
6754125;David Gries
6754124;Gary Levin
6754167;Jean-Marie Nicolas 0001
6754183;Jan van Leeuwen
6754192;Alexander Meduna
6754205;Klaus Küspert
6754218;J. Alan George
6754217;Lawrence D. Rogers
6754216;Gaston H. Gonnet
6754223;Shlomo Moran
6754222;Gadi Taubenfeld
6754260;William E. Wright
6754273;Levent V. Orman
6754328;Mario Schkolnick
6754195;Rudolf Bayer
6754363;M. W. Du
6754364;S. C. Chang
6754382;Otto Mayer
6754381;Aris M. Ouksel
6754401;Xiaolei Qian
6754414;James D. Currie
6754415;Terry I. Visentin
6754478;D. T. Lee
6754334;C. K. Wong
6754486;Betty Salzberg
6754479;Jay Earley
6754553;J. Eve
6754554;Reino Kurki-Suonio
6754558;Ronald V. Book
6754559;Ashok K. Chandra
6754588;Zvi M. Kedem
6754589;Abraham Silberschatz
6754654;Carla Schlatter Ellis
6753725;Ricardo A. Baeza-Yates
6754728;Werner Damm
6754729;Bernhard Josko
6754764;Christos H. Papadimitriou
6754763;H. T. Kung
6754791;Edward P. F. Chan
6754792;Héctor J. Hernández
6754629;Patrick E. O'Neil
6754811;Elizabeth J. O'Neil
6754810;Dieter Gawlick
6754809;Edward Cheng
6754817;Carlo Meghini
6754818;Costantino Thanos
6754837;Mario Coppo
6753728;Karel Culik II
6754027;Juhani Karhumäki
6754866;Pál Dömösi
6754867;György Maróti
6753754;Peter E. Lauer
6754713;Roy H. Campbell
6754240;K. Vidyasankar
6753988;Nissim Francez
6754909;Marco A. Casanova
6754910;Philip A. Bernstein
6753977;Zohar Manna
6754980;Richard J. Waldinger
6754029;Heikki Mannila
6754807;Kari-Jouko Räihä
6755076;Moshe Y. Vardi
6754868;Robert D. Tennent
6755101;Philippe Flajolet
6755141;Christian Ferdinand
6753762;Reinhard Wilhelm
6754697;Helmut Seidl
6755179;Andrew Chi-Chih Yao
6755185;John R. Rice
6755008;Rod M. Burstall
6753676;John Darlington
6755084;John Aycock
6754669;Angelo Borsotti
6754617;Cynthia A. Brown
6755190;Edward L. Robertson
6754616;Paul Walton Purdom Jr.
6755239;Mark Allen Weiss
6755238;Yuzheng Ding
6755243;Mitchell Wand
6755274;Edward M. McCreight
6755354;Henry F. Korth
6755353;Mark A. Roth
6753997;Michel Sintzoff
6755369;J. E. L. Peck
6755370;Cornelis H. A. Koster
6755367;Adriaan van Wijngaarden
6755371;C. H. Lindsey
6755368;B. J. Mailloux
6755372;Lambert G. L. T. Meertens
6755373;R. G. Fisker
6753999;Inman P. de Guzmán
6755384;Pablo Cordero
6755385;Manuel Enciso
6755025;C. A. R. Hoare
6754403;Kurt Mehlhorn
6755465;Hagen Huwig
6755473;Scott Huddleston
6754631;Edsger W. Dijkstra
6755518;Susan S. Owicki
6754597;Mark Levene
6754598;George Loizou
6754601;Gunter Saake
6755600;Klaus Hülsmann
6756309;David Gould
6756308;Bryan Reimer
6756307;Nadine Chahine
6756306;Jonathan Dobres
6756310;Nan Zhao
6756535;Ju-Ai Ruan
6756834;Ying-Lien Lee
6756835;Chih-Hsiang Hsu
6757120;Avner Shahal
6757121;Wanja Hemmerich
6756278;Heiko Hecht
6757344;Der-Chin Su
6757343;Wei-Yao Chang
6757342;Wang-Tsung Wu
6757340;Yen-Liang Chen
6756082;Bor-Jiunn Wen
6757341;Hung-Chih Hsieh
6757842;Marjan Mernik
6757841;Tomaz Kosar
6757843;Jeff Gray
6757844;Tomaz Kos
6758151;Oscar Avila
6758150;François Kiefer
6758149;Virginie Goepp
6759084;Yanrong Jiang
6759085;Nanfeng Xiao
6759086;Yufeng Zhang
6759087;Linying Zhang
6757914;Robert I. M. Young
6759147;Jennifer A. Harding
6759146;C. A. Costa
6759416;Therani Madhusudan
6759243;Remzi Seker
6758616;Radu F. Babiceanu
6759710;Ján Vascák
6759711;Rudolf Jaksa
6759712;Juraj Koscák
6759713;Ján Adamcák
6759831;Andrew A. West
6759830;Robert Harrison
6758863;David K. Wright
6758861;Sheng Feng Qin
6758207;Lilia Gzara Yesilbas
6759847;Bertrand Rose
6758208;Muriel Lombard
6758568;Jack G. A. J. van der Vorst
6758544;Adrie J. M. Beulens
6760795;Y. Li
6760796;M. R. Kramer
6761148;Xiaoyu Qiao
6761151;Danny Crookes
6761152;Adrian Long
6761150;P. A. M. Basheer
6759755;Fionn Murtagh
6761149;Paul Walsh
