:START_ID;:END_ID
6753653;100000509
6753658;100000911
6753660;100000609
6753663;100000559
6753668;100000779
6753671;100000899
6753675;100000982
6753683;100000571
6753684;100000788
6753698;100000760
6753699;100000678
6753703;100000864
6753710;100000943
6753716;100000936
6753717;100000811
6753725;100000956
6753726;100000842
6753750;100000924
6753752;100000593
6753754;100000858
6753763;100000985
6753765;100000942
6753775;100000555
6753778;100000587
6753779;100000805
6753784;100000593
6753797;100000930
6753804;100000581
6753810;100000745
6753824;100000651
6753825;100000846
6753827;100000687
6753833;100000591
6753845;100000695
6753857;100000637
6753871;100000972
6753880;100000799
6753886;100000699
6753894;100000506
6753897;100000814
6753903;100000554
6753905;100000915
6753906;100000665
6753913;100000737
6753916;100000935
6753922;100000708
6753935;100000998
6753936;100000562
6753938;100000625
6753940;100000514
6753947;100000924
6753949;100000739
6753950;100000899
6753954;100000739
6753961;100000887
6753962;100000690
6753964;100000940
6753966;100000788
6753970;100000833
6753971;100000776
6753980;100000729
6753981;100000712
6753996;100000745
6754000;100000693
6754002;100000849
6754004;100000806
6754007;100000927
6754011;100000940
6754016;100000637
6754017;100000933
6754018;100000518
6754020;100000768
6754023;100000874
6754026;100000714
6754027;100000945
6754028;100000747
6754029;100000842
6754032;100000862
6754040;100000731
6754041;100000808
6754043;100000962
6754045;100000745
6754046;100000805
6754049;100000739
6754050;100000796
6754056;100000770
6754058;100000967
6754063;100000509
6754072;100000636
6754073;100000887
6754079;100000792
6754086;100000817
6754090;100000694
6754091;100000989
6754092;100000769
6754093;100000866
6754097;100000661
6754100;100000615
6754103;100000584
6754110;100000721
6754118;100000808
6754120;100000961
6754122;100000844
6754124;100000901
6754125;100000892
6754128;100000979
6754129;100000891
6754154;100000614
6754157;100000519
6754161;100000847
6754164;100000851
6754165;100000568
6754167;100000569
6754183;100000623
6754189;100000517
6754191;100000719
6754192;100000896
6754198;100000826
6754199;100000728
6754201;100000966
6754203;100000864
6754205;100000561
6754206;100000836
6754214;100000748
6754218;100000733
6754222;100000787
6754223;100000621
6754225;100000833
6754226;100000990
6754227;100000996
6754235;100000592
6754245;100000762
6754246;100000927
6754258;100000951
6754273;100000657
6754274;100000862
6754276;100000701
6754283;100000610
6754287;100000696
6754288;100000811
6754290;100000806
6754299;100000956
6754300;100000871
6754319;100000516
6754326;100000673
6754333;100000796
6754334;100000767
6754335;100000890
6754337;100000983
6754339;100000558
6754342;100000830
6754343;100000644
6754346;100000900
6754350;100000732
6754353;100000517
6754366;100000809
6754367;100000625
6754368;100000605
6754371;100000953
6754382;100000704
6754383;100000507
6754388;100000917
6754397;100000834
6754399;100000752
6754401;100000943
6754402;100000537
6754409;100000877
6754414;100000607
6754415;100000668
6754416;100000712
6754417;100000611
6754429;100000908
6754437;100000687
6754467;100000895
6754469;100000670
6754471;100000626
6754472;100000886
6754473;100000891
6754476;100000882
6754478;100000647
6754479;100000780
6754487;100000886
6754491;100000761
6754496;100000951
6754503;100000813
6754509;100000899
6754522;100000850
6754530;100000941
6754531;100000748
6754534;100000837
6754536;100000848
6754541;100000837
6754547;100000733
6754553;100000786
6754554;100000928
6754555;100000839
6754569;100000779
6754575;100000788
6754578;100000626
6754584;100000827
6754588;100000621
6754589;100000839
6754590;100000514
6754598;100000895
6754599;100000836
6754604;100000531
6754608;100000661
6754610;100000628
6754611;100000808
6754613;100000779
6754622;100000577
6754631;100000690
6754632;100000922
6754637;100000840
6754650;100000784
6754653;100000810
6754654;100000578
6754665;100000510
6754667;100000810
6754669;100000895
6754672;100000670
6754688;100000547
6754693;100000926
6754699;100000824
6754701;100000658
6754704;100000836
6754715;100000804
6754726;100000831
6754727;100000898
6754730;100000871
6754731;100000762
6754737;100000835
6754738;100000530
6754744;100000858
6754750;100000706
6754752;100000683
6754760;100000961
6754764;100000802
6754766;100000649
6754768;100000952
6754770;100000982
6754780;100000755
6754781;100000543
6754791;100000697
6754811;100000784
6754812;100000991
6754817;100000659
6754818;100000597
6754819;100000662
6754822;100000871
6754830;100000704
6754837;100000515
6754839;100000575
6754849;100000521
6754857;100000684
6754866;100000629
6754867;100000963
6754868;100000750
6754870;100000814
6754897;100000900
6754901;100000892
6754910;100000600
6754912;100000507
6754917;100000954
6754931;100000906
6754933;100000842
6754941;100000799
6754956;100000893
6754957;100000746
6754963;100000821
6754964;100000618
6754974;100000767
6754975;100000689
6754979;100000822
6754980;100000857
6754993;100000786
6755008;100000865
6755010;100000767
6755014;100000641
6755016;100000967
6755020;100000761
6755022;100000774
6755023;100000831
6755027;100000881
6755028;100000755
6755039;100000969
6755040;100000720
6755044;100000666
6755052;100000959
6755059;100000669
6755071;100000764
6755074;100000974
6755077;100000549
6755078;100000733
6755080;100000667
6755083;100000765
6755090;100000952
6755094;100000879
6755113;100000532
6755114;100000541
6755130;100000996
6755131;100000896
6755138;100000625
6755139;100000881
6755142;100000833
6755145;100000631
6755146;100000787
6755154;100000989
6755157;100000677
6755174;100000649
6755175;100000716
6755176;100000763
6755179;100000738
6755181;100000712
6755185;100000667
6755190;100000781
6755193;100000746
6755196;100000973
6755200;100000632
6755201;100000730
6755206;100000883
6755215;100000896
6755232;100000606
6755243;100000844
6755253;100000501
6755267;100000625
6755269;100000559
6755276;100000691
6755286;100000980
6755289;100000653
6755291;100000504
6755295;100000998
6755306;100000932
6755311;100000675
6755312;100000799
6755314;100000675
6755321;100000937
6755332;100000892
6755341;100000780
6755343;100000634
6755345;100000935
6755352;100000752
6755353;100000720
6755354;100000690
6755356;100000566
6755357;100000984
6755364;100000845
6755367;100000671
6755368;100000780
6755371;100000762
6755372;100000609
6755373;100000805
6755375;100000818
6755376;100000621
6755381;100000917
6755388;100000534
6755390;100000537
6755394;100000889
6755398;100000611
6755413;100000655
6755417;100000681
6755431;100000808
6755438;100000905
6755441;100000619
6755450;100000598
6755455;100000652
6755456;100000974
6755461;100000798
6755464;100000787
6755465;100000930
6755467;100000881
6755480;100000816
6755490;100000590
6755502;100000749
6755510;100000513
6755512;100000874
6755514;100000704
6755521;100000593
6755526;100000601
6755534;100000766
6755535;100000560
6755536;100000635
6755546;100000997
6755550;100000621
6755553;100000597
6755564;100000902
6755571;100000531
6755572;100000729
6755575;100000714
6755585;100000958
6755587;100000860
6755594;100000923
6755597;100000744
6755600;100000781
6755601;100000749
6755610;100000948
6755611;100000589
6755614;100000844
6755616;100000645
6755618;100000663
6755629;100000917
6755638;100000845
6755639;100000894
6755644;100000603
6755656;100000843
6755658;100000805
6755661;100000678
6755666;100000641
6755720;100000631
6755721;100000700
6755723;100000518
6755732;100000824
6755738;100000606
6755745;100000640
6755746;100000935
6755754;100000916
6755828;100000649
6755842;100000886
6755859;100000851
6755871;100000812
6755889;100000811
6755899;100000981
6755926;100000866
6755944;100000993
6755945;100000669
6755977;100000977
6756054;100000564
6756061;100000740
6756079;100000632
6756080;100000872
6756082;100000890
6756086;100000511
6756093;100000601
6756100;100000990
6756104;100000962
6756115;100000662
6756128;100000988
6756137;100000915
6756148;100000892
6756159;100000918
6756185;100000523
6756199;100000974
6756278;100000745
6756295;100000748
6756307;100000754
6756308;100000952
6756310;100000604
6756336;100000855
6756360;100000826
6756370;100000895
6756415;100000592
6756459;100000582
6756462;100000914
6756523;100000727
6756535;100000941
6756551;100000817
6756607;100000951
6756640;100000778
6756650;100000757
6756693;100000843
6756711;100000961
6756719;100000869
6756784;100000759
6756834;100000531
6756835;100000867
6756864;100000615
6756869;100000529
6756870;100000875
6756929;100000638
6756938;100000918
6756950;100000770
6756953;100000974
6757044;100000729
6757046;100000623
6757120;100000933
6757145;100000629
6757159;100000823
6757169;100000885
6757214;100000714
