:START_ID;:END_ID
6753654;100000421
6753655;100000394
6753666;100000088
6753672;100000147
6753674;100000114
6753676;100000271
6753692;100000429
6753693;100000261
6753694;100000288
6753696;100000460
6753700;100000170
6753709;100000267
6753719;100000218
6753720;100000361
6753728;100000489
6753730;100000064
6753735;100000408
6753743;100000199
6753751;100000004
6753753;100000093
6753762;100000316
6753764;100000147
6753766;100000285
6753768;100000357
6753770;100000363
6753774;100000068
6753783;100000247
6753789;100000334
6753791;100000416
6753808;100000367
6753809;100000128
6753811;100000313
6753812;100000153
6753816;100000042
6753821;100000251
6753822;100000299
6753823;100000244
6753830;100000059
6753832;100000017
6753843;100000109
6753848;100000406
6753849;100000405
6753853;100000401
6753862;100000153
6753863;100000380
6753868;100000379
6753872;100000034
6753877;100000482
6753890;100000410
6753893;100000267
6753904;100000493
6753917;100000138
6753933;100000366
6753941;100000359
6753943;100000196
6753944;100000152
6753945;100000451
6753946;100000383
6753951;100000234
6753960;100000299
6753963;100000222
6753976;100000100
6753977;100000305
6753978;100000094
6753986;100000295
6753988;100000486
6753997;100000417
6753998;100000326
6753999;100000202
6754003;100000093
6754005;100000342
6754008;100000403
6754010;100000163
6754031;100000312
6754035;100000454
6754037;100000231
6754038;100000254
6754048;100000103
6754051;100000335
6754061;100000358
6754065;100000046
6754066;100000265
6754074;100000231
6754075;100000228
6754083;100000231
6754084;100000211
6754085;100000434
6754094;100000047
6754109;100000331
6754111;100000342
6754148;100000357
6754151;100000038
6754153;100000140
6754159;100000419
6754182;100000370
6754184;100000422
6754187;100000343
6754193;100000107
6754195;100000382
6754196;100000138
6754197;100000382
6754200;100000106
6754204;100000381
6754207;100000339
6754213;100000446
6754216;100000455
6754217;100000256
6754230;100000393
6754238;100000035
6754240;100000233
6754253;100000328
6754255;100000288
6754259;100000051
6754260;100000365
6754265;100000268
6754269;100000160
6754294;100000064
6754295;100000093
6754309;100000140
6754315;100000476
6754316;100000018
6754321;100000151
6754323;100000207
6754327;100000437
6754328;100000153
6754330;100000213
6754341;100000014
6754344;100000128
6754345;100000451
6754347;100000027
6754354;100000112
6754355;100000045
6754356;100000440
6754360;100000380
6754363;100000279
6754364;100000392
6754365;100000157
6754369;100000194
6754373;100000202
6754381;100000026
6754387;100000376
6754389;100000218
6754390;100000058
6754391;100000084
6754403;100000082
6754404;100000290
6754406;100000107
6754418;100000361
6754428;100000347
6754433;100000376
6754438;100000176
6754440;100000141
6754441;100000153
6754451;100000340
6754453;100000069
6754457;100000187
6754470;100000025
6754486;100000455
6754501;100000136
6754508;100000213
6754523;100000114
6754544;100000216
6754545;100000452
6754551;100000177
6754558;100000428
6754559;100000215
6754560;100000138
6754573;100000496
6754592;100000205
6754597;100000364
6754601;100000436
6754609;100000169
6754616;100000094
6754617;100000020
6754623;100000258
