​:ID;company_name
100000500;3-round-stones-inc
100000501;48-factoring-inc
100000502;5psolutions
100000503;abt-associates
100000504;accela
100000505;accenture
100000506;accuweather
100000507;acxiom
100000508;adaptive
100000509;adobe-digital-government
100000510;aidin
100000511;alarmcom
100000512;allianz
100000513;allied-van-lines
100000514;allstate-insurance-group
100000515;alltuition
100000516;altova
100000517;amazon-web-services
100000518;american-red-ball-movers
100000519;amida-technology-solutions
100000520;analytica
100000521;apextech-llc
100000522;appallicious
100000523;aquicore
100000524;archimedes-inc
100000525;areavibes-inc
100000526;arpin-van-lines
100000527;arrive-labs
100000528;asc-partners
100000529;asset4
100000530;atlas-van-lines
100000531;atsite
100000532;aunt-bertha-inc
100000533;aureus-sciences-now-part-of-elsevier
100000534;autogrid-systems
100000535;avalara
100000536;avvo
100000537;ayasdi
100000538;azavea
100000539;balefire-global
100000540;barchart
100000541;be-informed
100000542;bekins
100000543;berkery-noyes-mandasoft
100000544;berkshire-hathaway
100000545;betterlesson
100000546;billguard
100000547;bing
100000548;biovia
100000549;bizvizz
100000550;blackrock
100000551;bloomberg
100000552;booz-allen-hamilton
100000553;boston-consulting-group
100000554;boundless
100000555;bridgewater
100000556;brightscope
100000557;buildfax
100000558;buildingeye
100000559;buildzoom
100000560;business-and-legal-resources
100000561;business-monitor-international
100000562;calcbench-inc
100000563;cambridge-information-group
100000564;cambridge-semantics
100000565;can-capital
100000566;canon
100000567;capital-cube
100000568;cappex
100000569;captricity
100000570;careset-systems
100000571;caresetcom
100000572;carfax
100000573;caspio
100000574;castle-biosciences
100000575;cb-insights
100000576;ceiba-solutions
100000577;center-for-responsive-politics
100000578;cerner
100000579;certara
100000580;cgi
100000581;charles-river-associates
100000582;charles-schwab-corp
100000583;chemical-abstracts-service
100000584;child-care-desk
100000585;chubb
100000586;citigroup
100000587;cityscan
100000588;citysourced
100000589;civic-impulse-llc
100000590;civic-insight
100000591;civinomics
100000592;civis-analytics
100000593;clean-power-finance
100000594;clearhealthcosts
100000595;clearstory-data
100000596;climate-corporation
100000597;clinicast
100000598;cloudmade
100000599;cloudspyre
100000600;code-for-america
100000601;coden
100000602;collective-ip
100000603;college-abacus-an-ecmc-initiative
100000604;college-board
100000605;compared-care
100000606;compendia-bioscience-life-technologies
100000607;compliance-and-risks
100000608;computer-packages-inc
100000609;connectdot-llc
100000610;connectedu
100000611;connotate
100000612;construction-monitor-llc
100000613;consumer-reports
100000614;coolclimate
100000615;copyright-clearance-center
100000616;corelogic
100000617;costquest
100000618;credit-karma
100000619;credit-sesame
100000620;crowdanalytix
100000621;dabo-health
100000622;datalogix
100000623;datamade
100000624;datamarket
100000625;datamyne
100000626;dataweave
100000627;deloitte
100000628;demystdata
100000629;department-of-better-technology
100000630;development-seed
100000631;docket-alarm-inc
100000632;dow-jones--co
100000633;dun--bradstreet
100000634;earth-networks
100000635;earthobserver-app
100000636;earthquake-alert
100000637;eat-shop-sleep
100000638;ecodesk
100000639;einstitutional
100000640;embark
100000641;emc
100000642;energy-points-inc
100000643;energy-solutions-forum
100000644;enervee-corporation
100000645;enigmaio
100000646;ensco
