​:ID;title:string;venue:string;city:string;period:string;year:int
9047401;Ontology Learning and Population: Bridging the Gap between Text and Knowledge;Marriott Waiohai Beach Club;Brussels;12-13 July;1955
9047437;Edition of the 2nd International Workshop on Satisfiability Checking and Symbolic Computation co-located with the 42nd International Symposium on Symbolic and Algebraic Computation (ISSAC 2017), Kaiserslautern, Germany, July 29, 2017.;Westin Kaanapali Ocean Resort Villas;Thessaloniki;1-2 June;1956
9047538;Edition of the 4th International Workshop on XQuery Implementation, Experience and Perspectives, in cooperation with ACM SIGMOD, June 15, 2007, Beijing, China;Wailea Beach Marriott Resort & Spa;London;10-14 January;1957
9047539;Edition of the Second International Workshop on XQuery Implementation, Experience and Perspectives <XIME-P/>, in cooperation with ACM SIGMOD, June 16-17, 2005, Baltimore, Maryland, USA;Hyatt Regency Maui Resort & Spa;Barcelona;8-9 February;1958
9047540;Edition of the 3rd International Workshop on XQuery Implementation, Experience and Perspectives, in cooperation with ACM SIGMOD, June 30, 2006, Chicago, USA. 2006;Fairmont Kea Lani;Madrid;11-13 March;1959
9047541;Edition of the First International Workshop on XQuery Implementation, Experience and Perspectives <XIME-P/>, in cooperation with ACM SIGMOD, June 17-18, 2004, Maison de la Chimie, Paris, France;Moana Surfrider;Berlin;23-25 April;1960
9047633;Human Error, Safety and Systems Development, IFIP 18th World Computer Congress, TC13 / WG13.5 7th Working Conference on Human Error, Safety and Systems Development, 22-27 August 2004, Toulouse, France;Ko Olina Marriot Beach Club;Athens;28-29 May;1961
9047693;Edition of the 9th Web as Corpus Workshop, WaC@EACL 2014, Gothenburg, Sweden, April 26, 2014;Hyatt Regency Waikiki;Paris;22-23 August;1962
9047765;Edition of the Second SIAM International Conference on Data Mining, Arlington, VA, USA, April 11-13, 2002;Hawaii Prince Hotel Waikiki;Brussels;25-28 August;1963
9047766;Edition of the Seventh SIAM International Conference on Data Mining, April 26-28, 2007, Minneapolis, Minnesota, USA;Aqua Bamboo Waikiki;Thessaloniki;12-14 June;1964
9047767;Edition of the 2015 SIAM International Conference on Data Mining, Vancouver, BC, Canada, April 30 - May 2, 2015;Aqua Aloha Surf Waikiki Hotel;London;17-19 September;1965
9047768;Edition of the SIAM International Conference on Data Mining, SDM 2009, April 30 - May 2, 2009, Sparks, Nevada, USA;Sheraton Kauai Resort;Barcelona;20-22 September;1966
9047769;Edition of the 2005 SIAM International Conference on Data Mining, SDM 2005, Newport Beach, CA, USA, April 21-23, 2005;Kilauea Lakeside Estate;Madrid;22-25 December;1967
9047770;Edition of the SIAM International Conference on Data Mining, SDM 2008, April 24-26, 2008, Atlanta, Georgia, USA;Grand Hyatt Kauai Resort & Spa;Berlin;10-12 November;1968
