:START_ID;:END_ID;pages:string;year:int;proceeding:string
972036;9047402;205-226;1955;10047402
972288;9047402;466-484;1955;10047402
972409;9047402;265-281;1955;10047402
972492;9047402;1266-1283;1955;10047402
972558;9047402;159-175;1955;10047402
972567;9047403;257-270;1955;10047403
972799;9047403;449-460;1955;10047403
972808;9047404;45-61;1955;10047404
972870;9047404;Jan-17;1955;10047404
972878;9047404;63-75;1955;10047404
973151;9047405;135-136;1955;10047405
973156;9047405;01-Feb;1955;10047405
973174;9047405;251-252;1955;10047405
973323;9047405;213-214;1955;10047405
973396;9047405;529-561;1955;10047405
973685;9047406;524-544;1955;10047406
973890;9047406;212-238;1955;10047406
973950;9047407;597-613;1955;10047407
974000;9047407;423-437;1955;10047407
974024;9047407;725-738;1955;10047407
974161;9047407;67-80;1955;10047407
974217;9047407;1031-1040;1955;10047407
974272;9047407;435-446;1955;10047407
974291;9047407;901-911;1955;10047407
974347;9047407;57-71;1955;10047407
974615;9047407;595-608;1955;10047407
974630;9047407;849-867;1955;10047407
974857;9047407;783-796;1955;10047407
974887;9047407;797-811;1955;10047407
974973;9047407;321-331;1955;10047407
974989;9047407;423-441;1955;10047407
975022;9047407;323-335;1955;10047407
975132;9047408;891-900;1955;10047408
975222;9047408;355-368;1955;10047408
975973;9047410;1199-1211;1955;10047410
976028;9047410;2709-2718;1955;10047410
976165;9047410;5283-5293;1955;10047410
976279;9047410;1044-1063;1955;10047410
976383;9047410;1442-1447;1955;10047410
976541;9047410;645-655;1955;10047410
976598;9047410;265-273;1955;10047410
976627;9047410;3396-3408;1955;10047410
976771;9047410;2421-2429;1955;10047410
976947;9047410;1447-1454;1955;10047410
977011;9047410;1458-1462;1955;10047410
977133;9047410;2531-2547;1955;10047410
977266;9047410;3235-3249;1955;10047410
977267;9047410;3915-3927;1955;10047410
977338;9047410;3035;1955;10047410
977433;9047410;2510-2518;1955;10047410
977659;9047410;2683-2695;1955;10047410
977674;9047410;590-604;1955;10047410
977754;9047410;833-843;1955;10047410
977882;9047410;72-77;1955;10047410
977890;9047410;2442-2459;1955;10047410
977933;9047410;386-395;1955;10047410
978026;9047410;1962-1973;1955;10047410
978086;9047410;3350-3358;1955;10047410
978090;9047410;5407-5423;1955;10047410
978165;9047410;3119-3138;1955;10047410
978257;9047410;3003-3008;1955;10047410
978384;9047410;1808-1822;1955;10047410
978411;9047410;416-425;1955;10047410
978435;9047410;1183-1190;1955;10047410
978437;9047410;326-337;1955;10047410
978489;9047410;1719-1727;1955;10047410
978500;9047410;3485-3501;1955;10047410
978517;9047410;03-Dec;1955;10047410
978559;9047410;2725-2734;1955;10047410
978775;9047410;4843-4844;1955;10047410
978813;9047410;3986-3992;1955;10047410
978878;9047410;4818-4832;1955;10047410
979076;9047410;1352-1359;1955;10047410
979232;9047410;2478-2487;1955;10047410
979236;9047410;409-420;1955;10047410
979416;9047410;1160-1170;1955;10047410
979470;9047410;5352-5364;1955;10047410
979479;9047410;376-388;1955;10047410
979783;9047410;1168-1178;1955;10047410
979877;9047410;3843-3850;1955;10047410
980129;9047410;2647-2659;1955;10047410
980232;9047410;3303-3305;1955;10047410
980462;9047410;2525-2533;1955;10047410
980619;9047410;758-763;1955;10047410
980636;9047410;1462-1474;1955;10047410
980645;9047410;3198-3211;1955;10047410
980664;9047410;1135-1140;1955;10047410
980830;9047410;958-969;1955;10047410
980846;9047410;1190-1193;1955;10047410
981008;9047410;6625-6643;1955;10047410
981043;9047410;1588-1597;1955;10047410
981095;9047410;2014-2039;1955;10047410
981124;9047410;3461-3469;1955;10047410
981133;9047410;2727-2735;1955;10047410
981201;9047410;2733-2748;1955;10047410
981224;9047410;532-537;1955;10047410
981264;9047410;4143-4148;1955;10047410
981328;9047410;183-190;1955;10047410
981443;9047410;3715-3732;1955;10047410
981522;9047410;2968-2977;1955;10047410
981733;9047410;373-385;1955;10047410
981749;9047410;349-355;1955;10047410
981816;9047410;6521-6533;1955;10047410
981825;9047410;356-367;1955;10047410
982065;9047410;4178-4192;1955;10047410
982139;9047410;2621-2639;1955;10047410
982166;9047410;1821-1825;1955;10047410
982197;9047410;891-898;1955;10047410
982256;9047410;1622-1632;1955;10047410
982257;9047410;801-815;1955;10047410
982323;9047410;375-391;1955;10047410
982459;9047410;2124-2135;1955;10047410
982610;9047410;179-180;1955;10047410
982625;9047410;4619-4632;1955;10047410
982850;9047410;2049-2056;1955;10047410
982893;9047410;2268-2273;1955;10047410
982903;9047410;3406-3411;1955;10047410
983063;9047410;1629-1647;1955;10047410
983092;9047410;761-766;1955;10047410
983274;9047410;3372-3383;1955;10047410
983327;9047410;151-164;1955;10047410
983358;9047410;1816-1828;1955;10047410
983422;9047410;3331-3339;1955;10047410
983434;9047410;2584-2592;1955;10047410
983509;9047410;3866-3879;1955;10047410
983683;9047410;1530-1542;1955;10047410
983744;9047410;4299-4312;1955;10047410
983847;9047410;7104-7112;1955;10047410
983881;9047410;2352-2360;1955;10047410
983885;9047410;3640-3647;1955;10047410
983895;9047410;1153-1158;1955;10047410
983983;9047410;5218-5229;1955;10047410
984415;9047410;3076-3086;1955;10047410
984668;9047410;3037-3050;1955;10047410
984695;9047410;2509-2515;1955;10047410
984721;9047411;I-II;1955;10047411
984831;9047412;3768-3800;1956;10047412
984961;9047412;768-817;1956;10047412
984979;9047412;103-138;1956;10047412
985000;9047412;310-374;1956;10047412
985124;9047412;275-298;1956;10047412
985157;9047412;2268-2297;1956;10047412
985246;9047412;645-692;1956;10047412
985340;9047412;670-715;1956;10047412
985480;9047412;381-403;1956;10047412
985659;9047413;950-970;1955;10047413
985699;9047413;477-492;1955;10047413
985776;9047413;906-921;1955;10047413
985894;9047413;557-575;1955;10047413
985917;9047413;376-399;1955;10047413
986144;9047413;119-141;1955;10047413
986283;9047413;527-542;1955;10047413
986328;9047413;Feb-24;1955;10047413
986434;9047413;1023-1049;1955;10047413
986529;9047413;318-337;1955;10047413
986579;9047414;629-637;1955;10047414
986608;9047414;289-292;1955;10047414
986707;9047414;571-599;1955;10047414
986852;9047414;417-426;1955;10047414
986906;9047414;299-321;1955;10047414
986913;9047414;830-835;1955;10047414
986934;9047414;49-64;1955;10047414
987054;9047414;321-332;1955;10047414
987082;9047414;101-105;1955;10047414
987088;9047414;305-319;1955;10047414
987185;9047414;51-76;1955;10047414
987240;9047414;307-333;1955;10047414
987278;9047414;211-219;1955;10047414
987325;9047414;535-568;1955;10047414
987373;9047414;429-448;1955;10047414
987424;9047414;791-796;1955;10047414
987427;9047414;475-501;1955;10047414
987506;9047414;887-906;1955;10047414
987609;9047414;183-186;1955;10047414
987641;9047414;27-44;1955;10047414
987653;9047416;27-40;1955;10047416
987799;9047416;05-Jun;1955;10047416
987801;9047416;81-95;1955;10047416
987907;9047417;120-142;1955;10047417
988007;9047417;43-89;1955;10047417
988216;9047417;202-216;1955;10047417
988319;9047417;211-221;1955;10047417
988416;9047417;317-328;1955;10047417
988448;9047417;326-347;1955;10047417
988525;9047417;415-430;1955;10047417
988531;9047417;123-135;1955;10047417
988535;9047417;103-146;1955;10047417
988561;9047417;131-142;1955;10047417
988600;9047417;5316-5328;1955;10047417
988653;9047417;Jan-36;1955;10047417
988892;9047417;368-384;1955;10047417
988929;9047417;16-36;1955;10047417
988954;9047417;787-803;1955;10047417
989078;9047417;211-223;1955;10047417
989135;9047417;73-107;1955;10047417
989202;9047417;101-133;1955;10047417
989218;9047417;123-127;1955;10047417
989356;9047417;01-Feb;1955;10047417
989370;9047417;13-24;1955;10047417
989729;9047417;173-188;1955;10047417
989932;9047417;56-70;1955;10047417
990044;9047417;151-167;1955;10047417
990154;9047417;317-327;1955;10047417
990202;9047417;21-35;1955;10047417
990204;9047417;947-955;1955;10047417
990317;9047417;121-136;1955;10047417
990320;9047417;16-24;1955;10047417
990574;9047417;217;1955;10047417
990577;9047417;2405-2421;1955;10047417
990679;9047417;273-283;1955;10047417
990761;9047417;340-358;1955;10047417
990856;9047417;209-220;1955;10047417
990900;9047417;2130-2151;1955;10047417
990951;9047417;172-181;1955;10047417
990980;9047417;265-280;1955;10047417
990986;9047417;106-122;1955;10047417
991018;9047417;72-88;1955;10047417
991025;9047417;61-76;1955;10047417
991057;9047417;01-Oct;1955;10047417
991119;9047417;40-54;1955;10047417
991198;9047417;2091-2104;1955;10047417
991311;9047417;55-86;1955;10047417
991361;9047417;281-304;1955;10047417
991389;9047417;157-169;1955;10047417
991482;9047417;127-137;1955;10047417
991646;9047417;127-149;1955;10047417
991672;9047417;3393-3401;1955;10047417
991761;9047417;243-263;1955;10047417
991843;9047417;35-57;1955;10047417
991896;9047417;330-346;1955;10047417
991965;9047417;4934-4946;1955;10047417
992053;9047417;15-21;1955;10047417
992201;9047417;55-67;1955;10047417
992210;9047417;124-140;1955;10047417
992258;9047417;76-90;1955;10047417
992413;9047417;4015-4021;1955;10047417
992435;9047417;92-112;1955;10047417
992599;9047417;55-77;1955;10047417
992749;9047417;65-80;1955;10047417
992756;9047417;251-270;1955;10047417
992835;9047417;254-278;1955;10047417
992898;9047417;123-151;1955;10047417
992915;9047417;59-101;1955;10047417
992972;9047417;94-107;1955;10047417
992977;9047417;69-70;1955;10047417
993242;9047417;Jan-41;1955;10047417
993257;9047417;49-72;1955;10047417
993473;9047417;67-84;1955;10047417
993504;9047417;4148-4160;1955;10047417
993578;9047417;317-321;1955;10047417
993663;9047417;23-38;1955;10047417
993761;9047417;1923-1934;1955;10047417
993874;9047417;273-287;1955;10047417
993987;9047417;106-115;1955;10047417
994049;9047417;108-122;1955;10047417
994216;9047417;211-220;1955;10047417
994235;9047417;49-57;1955;10047417
994267;9047417;253-287;1955;10047417
994273;9047417;1218-1236;1955;10047417
994291;9047417;Jan-17;1955;10047417
994301;9047417;399-413;1955;10047417
994366;9047417;4883-4892;1955;10047417
994475;9047417;171-183;1955;10047417
994536;9047417;145-168;1955;10047417
994580;9047417;630-647;1955;10047417
994672;9047417;3379-3396;1955;10047417
994803;9047417;91-125;1955;10047417
995075;9047417;151-199;1955;10047417
995127;9047417;121-133;1955;10047417
995279;9047417;67-85;1955;10047417
995344;9047417;67-73;1955;10047417
995392;9047417;122-131;1955;10047417
995464;9047417;221-235;1955;10047417
995517;9047417;663-678;1955;10047417
995531;9047417;2740-2753;1955;10047417
995547;9047417;5387-5411;1955;10047417
995556;9047417;648-660;1955;10047417
995659;9047417;147-148;1955;10047417
995779;9047417;53-66;1955;10047417
995915;9047417;198-210;1955;10047417
996201;9047417;01-Mar;1955;10047417
996227;9047417;199-211;1955;10047417
996486;9047417;275-296;1955;10047417
996548;9047417;163-174;1955;10047417
996642;9047417;505-507;1955;10047417
996653;9047417;2328-2339;1955;10047417
996656;9047417;722-733;1955;10047417
996676;9047417;99-132;1955;10047417
996718;9047417;101-120;1955;10047417
996777;9047417;Jan-28;1955;10047417
996802;9047417;01-Feb;1955;10047417
996836;9047417;45-76;1955;10047417
996844;9047417;308-325;1955;10047417
996978;9047417;262-273;1955;10047417
997079;9047417;38-56;1955;10047417
997371;9047417;Jan-20;1955;10047417
997413;9047417;249-274;1955;10047417
997445;9047417;191-200;1955;10047417
997551;9047417;3557-3564;1955;10047417
997574;9047418;351-371;1955;10047418
997663;9047418;496-515;1955;10047418
997786;9047418;530-542;1955;10047418
997881;9047419;490-510;1957;10047419
997909;9047419;435-450;1957;10047419
997943;9047419;Apr-22;1957;10047419
997946;9047419;285-308;1957;10047419
997963;9047419;189-210;1957;10047419
998013;9047419;264-279;1957;10047419
998020;9047419;102-123;1957;10047419
998036;9047419;54-73;1957;10047419
998053;9047419;74-84;1957;10047419
998166;9047419;96-122;1957;10047419
998179;9047419;208-257;1957;10047419
998188;9047419;30-44;1957;10047419
998195;9047419;326-348;1957;10047419
998212;9047419;45-63;1957;10047419
998213;9047419;394-409;1957;10047419
998227;9047419;419-431;1957;10047419
998238;9047419;186-212;1957;10047419
998265;9047419;332-350;1957;10047419
998277;9047419;64-93;1957;10047419
998287;9047419;Apr-30;1957;10047419
998292;9047419;115-139;1957;10047419
998321;9047419;292-322;1957;10047419
998333;9047419;474-488;1957;10047419
998339;9047419;136-147;1957;10047419
998371;9047419;39-63;1957;10047419
998394;9047419;126-150;1957;10047419
998415;9047419;260-282;1957;10047419
998445;9047419;349-371;1957;10047419
998464;9047419;221-240;1957;10047419
998478;9047419;494-508;1957;10047419
998493;9047419;272-304;1957;10047419
998497;9047419;407-423;1957;10047419
998557;9047419;479-510;1957;10047419
998567;9047419;62-76;1957;10047419
998573;9047419;276-292;1957;10047419
998574;9047419;78-101;1957;10047419
998599;9047419;41-62;1957;10047419
998645;9047419;84-95;1957;10047419
998646;9047419;105-118;1957;10047419
998649;9047419;1;1957;10047419
998693;9047419;476-489;1957;10047419
998719;9047419;89-105;1957;10047419
998728;9047419;123-135;1957;10047419
998740;9047419;78-117;1957;10047419
998803;9047419;169-195;1957;10047419
998819;9047419;112-125;1957;10047419
998852;9047419;188-198;1957;10047419
998854;9047419;411-436;1957;10047419
998891;9047419;315-324;1957;10047419
998931;9047419;Apr-27;1957;10047419
998934;9047419;151-164;1957;10047419
998942;9047419;193-216;1957;10047419
998951;9047419;178-188;1957;10047419
998976;9047419;324-343;1957;10047419
999006;9047419;211-218;1957;10047419
999036;9047419;179-198;1957;10047419
999081;9047419;229-245;1957;10047419
999084;9047419;546-563;1957;10047419
999104;9047419;344-358;1957;10047419
999151;9047419;351-367;1957;10047419
999199;9047419;148-168;1957;10047419
999316;9047419;362-377;1957;10047419
999382;9047420;226-227;1958;10047420
999389;9047420;351-354;1958;10047420
999665;9047420;374-386;1958;10047420
999693;9047420;325-336;1958;10047420
999742;9047420;310-325;1958;10047420
999761;9047420;527-549;1958;10047420
999817;9047420;173-190;1958;10047420
999881;9047420;385-394;1958;10047420
999892;9047420;;1958;10047420
999938;9047420;450-462;1958;10047420
1000030;9047420;iii-iv;1958;10047420
1000292;9047420;308-316;1958;10047420
1000317;9047420;149-150;1958;10047420
1000374;9047420;313-328;1958;10047420
1000408;9047422;-35;1960;10047422
1000420;9047423;45-59;1961;10047423
1000486;9047424;240-273;1955;10047424
1000595;9047424;901-932;1955;10047424
1000636;9047424;445-471;1955;10047424
1000804;9047425;187-201;1956;10047425
1001016;9047425;Jun-19;1956;10047425
1001052;9047425;318-328;1956;10047425
