:ID;journal:string
9046524;Acta Inf.
9046525;ACM Trans. Spatial Algorithms and Systems
9046526;Displays
9046527;IJKDB
9046528;Computers in Industry
9046529;International Journal of Internet and Enterprise Management
9046530;Future Generation Comp. Syst.
9046531;Telematics and Informatics
9046532;Object Oriented Systems
9046533;IJEA
9046534;Game Studies
9046535;IJTM
9046536;IEEE Trans. Knowl. Data Eng.
9046537;Higher-Order and Symbolic Computation
9046538;Lisp and Symbolic Computation
9046539;Knowl.-Based Syst.
9046540;IJEBR
9046541;I. J. Artificial Intelligence in Education
9046542;Markup Languages
9046543;Journal of Intelligent and Fuzzy Systems
9046544;Foundations and Trends in Programming Languages
9046545;Computational Statistics & Data Analysis
9046546;Web Intelligence and Agent Systems
9046547;Web Intelligence
9046548;J. Formalized Reasoning
9046549;ERCIM News
9046550;J. Data Semantics
9046551;IJIEI
9046552;IJWMIP
9046553;Combinatorica
9046554;Int. J. Cooperative Inf. Syst.
9046555;Int. Arab J. Inf. Technol.
9046556;Applied Categorical Structures
9046557;IJICST
9046558;ICST Trans. Ambient Systems
9046559;EAI Endorsed Trans. Ambient Systems
9046560;Computer and Information Science
9046561;Smart CR
9046562;IEEE Access
9046563;JUSPN
9046564;IJAMC
9046565;EJIS
9046566;Automatica
9046567;J. Information Security
9046568;Bulletin of Symbolic Logic
9046569;JOCCH
9046570;IJANTTI
9046571;IJWP
9046572;IEEE Trans. Human-Machine Systems
9046573;IEEE Trans. Information Forensics and Security
9046574;IJMSTR
9046575;Linguamática
9046576;Foundations and Trends in Signal Processing
9046577;Journal of Zhejiang University - Science C
9046578;Frontiers of IT & EE
9046579;Computer Graphics and Image Processing
9046580;Computer Vision, Graphics, and Image Processing
9046581;CVGIP: Graphical Model and Image Processing
9046582;Graphical Models
9046583;Graphical Models and Image Processing
9046584;Trans. HiPEAC
9046585;T. HiPEAC
9046586;BMC Medical Imaging
9046587;IJHISI
9046588;TACO
9046589;IJTHI
9046590;Groups Complexity Cryptology
9046591;SIGART Newsletter
9046592;SIGART Bulletin
9046593;Intelligence
9046594;Robotersysteme
9046595;J. Mathematical Logic
9046596;Int. Journal in Computer Simulation
9046597;Algorithmica
9046598;International Journal of Software Engineering and Knowledge Engineering
9046599;J. Web Science
9046600;Journal of Circuits, Systems, and Computers
9046601;Formal Methods in System Design
9046602;Front. Comput. Neurosci.
9046603;Trans. Petri Nets and Other Models of Concurrency
9046604;T. Petri Nets and Other Models of Concurrency
9046605;Government Information Quarterly
9046606;Journal of Computer Security
9046607;J. Cryptology
9046608;J. Comput. Physics
9046609;Foundations and Trends in Databases
9046610;IMWUT
9046611;SIAM J. Scientific Computing
9046612;Math. Log. Q.
9046613;IEEE Trans. Haptics
9046614;Computers
9046615;IJHCITP
9046616;J. Sensor Technology
9046617;Personal and Ubiquitous Computing
9046618;SIGSPATIAL Special
9046619;J. Comput. Sci. Technol.
9046620;Intelligent Decision Technologies
9046621;Expert Systems
9046622;Synthese
9046623;IJEP
9046624;IEEE Security & Privacy
9046625;IJSIR
9046626;World Digital Libraries
9046627;JACIII
9046628;Axioms
9046629;FO & DM
9046630;Int. J. Pervasive Computing and Communications
9046631;Int. J. Game Theory
9046632;Peer-to-Peer Networking and Applications
9046633;IEEE Trans. Education
9046634;Meth. of Logic in CS
9046635;IEEE Trans. Neural Netw. Learning Syst.
9046636;IEEE Trans. Neural Networks
9046637;IJPOP
9046638;ACM Comm. Computer Algebra
9046639;ACM SIGSAM Bulletin
9046640;Computer Science Education
9046641;Statistical Analysis and Data Mining
9046642;ACM Trans. Social Computing
9046643;Neural Parallel & Scientific Comp.
9046644;EURASIP J. Audio, Speech and Music Processing
9046645;J. Electron. Commerce Res.
9046646;IJCOPI
9046647;Math. Program. Comput.
9046648;OR Insight
9046649;IEEE Trans. Information Technology in Biomedicine
9046650;IEEE J. Biomedical and Health Informatics
9046651;Ingénierie des Systèmes d'Information
9046652;JTHTL
9046653;Online Social Networks and Media
9046654;Inf. Retr. Journal
9046655;Inf. Retr.
9046656;IEEE Trans. Biomed. Circuits and Systems
9046657;Appl. Algebra Eng. Commun. Comput.
9046658;Wireless Communications and Mobile Computing
9046659;J. Low Power Electronics
