:START_ID;:END_ID;pages:string;volume:string;year:int;Column1
8;9046524;297-305;10;1978;8
65;9046524;513-524;31;1994;65
75;9046524;1-9;4;1974;75
95;9046524;131-145;43;2006;95
126;9046524;107-116;4;1975;126
144;9046524;423-452;27;1990;144
151;9046524;271-291;21;1984;151
154;9046524;35-63;1;1971;154
176;9046524;197-216;7;1976;176
200;9046524;155-168;13;1980;200
251;9046524;347-355;3;1974;251
252;9046524;249-260;20;1983;252
276;9046524;281-302;15;1981;276
295;9046524;227-253;18;1982;295
307;9046524;345-359;18;1982;307
313;9046524;307-314;39;2003;313
321;9046524;35-55;19;1983;321
329;9046524;39-52;13;1980;329
332;9046524;1-20;33;1996;332
355;9046524;453-480;27;1990;355
358;9046524;3-17;15;1981;358
365;9046524;167-189;34;1997;365
403;9046524;1-21;9;1977;403
424;9046524;281-302;29;1992;424
432;9046524;335-373;29;1992;432
448;9046524;631-656;28;1991;448
458;9046524;521-533;43;2007;458
512;9046524;23-29;9;1977;512
518;9046524;195-215;27;1990;518
560;9046524;293-309;2;1973;560
563;9046524;303-314;8;1977;563
566;9046524;89-94;6;1976;566
584;9046524;1-13;16;1981;584
616;9046524;267-285;17;1982;616
634;9046524;63-86;14;1980;634
684;9046524;439-471;26;1989;684
693;9046524;59-101;20;1983;693
718;9046524;1-11;19;1983;718
745;9046524;475-496;25;1988;745
758;9046524;351-385;33;1996;758
762;9046524;125-138;22;1985;762
787;9046524;159-170;20;1983;787
805;9046524;179-191;27;1989;805
814;9046524;397-408;48;2011;814
834;9046524;297-332;5;1975;834
841;9046524;105-119;24;1987;841
844;9046524;329-344;20;1983;844
849;9046524;195-220;14;1980;849
906;9046524;371-426;16;1981;906
918;9046524;143-158;20;1983;918
989;9046524;305-324;19;1983;989
992;9046524;97-112;8;1977;992
1014;9046524;345-369;20;1983;1014
1050;9046524;741-760;31;1994;1050
1053;9046524;285-298;32;1995;1053
1083;9046524;159-170;9;1978;1083
1089;9046524;273-285;5;1975;1089
1096;9046524;41-60;6;1976;1096
1097;9046524;549-559;46;2009;1097
1100;9046524;99-113;15;1981;1100
1141;9046524;290-306;1;1972;1141
1150;9046524;215-231;30;1993;1150
1155;9046524;337-357;14;1980;1155
1183;9046524;173-189;1;1972;1183
1256;9046524;615-642;26;1989;1256
1266;9046524;1-236;5;1975;1266
1276;9046524;599-619;38;2002;1276
1284;9046524;271-281;1;1972;1284
1297;9046524;287-295;5;1975;1297
1348;9046524;221-243;17;1982;1348
1359;9046524;157-184;17;1982;1359
1365;9046524;115-138;1;1971;1365
1400;9046524;319-340;6;1976;1400
1409;9046524;335-355;2;1973;1409
1472;9046524;135-149;34;1997;1472
1488;9046524;365-407;28;1991;1488
1707;9046526;42-49;41;2016;1707
1778;9046526;11-18;37;2015;1778
1881;9046526;81-86;32;2011;1881
1992;9046526;5-14;44;2016;1992
2084;9046526;191-195;31;2010;2084
2258;9046528;622-635;65;2014;2258
2351;9046528;660-671;59;2008;2351
2693;9046528;1-15;80;2016;2693
2716;9046528;33-48;46;2001;2716
2825;9046528;235-259;56;2005;2825
2924;9046528;128-137;81;2016;2924
2952;9046528;110-118;74;2015;2952
2998;9046528;69-81;54;2004;2998
3399;9046528;690-710;57;2006;3399
3419;9046528;852-862;61;2010;3419
3587;9046528;905-917;56;2005;3587
3633;9046528;854-863;62;2011;3633
3645;9046528;723-730;63;2012;3645
3763;9046529;241-263;2;2004;3763
3926;9046530;187-199;75;2017;3926
4002;9046530;743-744;28;2012;4002
4127;9046530;1-12;45;2015;4127
4194;9046530;46-57;24;2008;4194
4208;9046530;275-285;80;2018;4208
4236;9046530;573-582;28;2012;4236
4417;9046530;75-86;15;1999;4417
4430;9046530;725-736;27;2011;4430
4541;9046530;;16;1999;4541
4544;9046530;63-92;59;2016;4544
4696;9046530;231-242;13;1997;4696
5034;9046530;281-289;25;2009;5034
5107;9046530;80-96;94;2019;5107
5141;9046530;81-98;86;2018;5141
5330;9046530;1052-1054;78;2018;5330
5429;9046530;424-433;26;2010;5429
5454;9046530;1393-1402;26;2010;5454
5520;9046530;291-296;81;2018;5520
