volume_id:string;volume_number:string;volume_title:string
500000000;1;Volume 1
500000000;1;Volume 1
500000000;1;Volume 1
500000000;1;Volume 1
500000000;1;Volume 1
500000001;2;Volume 2
500000001;2;Volume 2
500000002;3;Volume 3
500000003;4;Volume 4
500000003;4;Volume 4
500000004;5;Volume 5
500000004;5;Volume 5
500000004;5;Volume 5
500000004;5;Volume 5
500000005;6;Volume 6
500000005;6;Volume 6
500000005;6;Volume 6
500000006;7;Volume 7
500000007;8;Volume 8
500000007;8;Volume 8
500000008;9;Volume 9
500000008;9;Volume 9
500000008;9;Volume 9
500000009;10;Volume 10
500000010;13;Volume 13
500000010;13;Volume 13
500000011;14;Volume 14
500000011;14;Volume 14
500000011;14;Volume 14
500000012;15;Volume 15
500000012;15;Volume 15
500000012;15;Volume 15
500000013;16;Volume 16
500000013;16;Volume 16
500000014;17;Volume 17
500000014;17;Volume 17
500000014;17;Volume 17
500000015;18;Volume 18
500000015;18;Volume 18
500000016;19;Volume 19
500000016;19;Volume 19
500000016;19;Volume 19
500000017;20;Volume 20
500000017;20;Volume 20
500000017;20;Volume 20
500000017;20;Volume 20
500000017;20;Volume 20
500000017;20;Volume 20
500000018;21;Volume 21
500000019;22;Volume 22
500000020;24;Volume 24
500000021;25;Volume 25
500000022;26;Volume 26
500000022;26;Volume 26
500000023;27;Volume 27
500000023;27;Volume 27
500000023;27;Volume 27
500000023;27;Volume 27
500000024;28;Volume 28
500000024;28;Volume 28
500000025;29;Volume 29
500000025;29;Volume 29
500000026;30;Volume 30
500000027;31;Volume 31
500000027;31;Volume 31
500000028;32;Volume 32
500000029;33;Volume 33
500000029;33;Volume 33
500000030;34;Volume 34
500000030;34;Volume 34
500000031;38;Volume 38
500000032;39;Volume 39
500000033;43;Volume 43
500000033;43;Volume 43
500000034;46;Volume 46
500000035;48;Volume 48
500000036;31;Volume 31
500000037;32;Volume 32
500000038;37;Volume 37
500000039;41;Volume 41
500000040;44;Volume 44
500000041;46;Volume 46
500000042;54;Volume 54
500000043;56;Volume 56
500000043;56;Volume 56
500000044;57;Volume 57
500000045;59;Volume 59
500000046;61;Volume 61
500000047;62;Volume 62
500000048;63;Volume 63
500000049;65;Volume 65
500000050;74;Volume 74
500000051;80;Volume 80
500000052;81;Volume 81
500000053;2;Volume 2
500000054;4;Volume 4
500000055;5;Volume 5
500000056;6;Volume 6
500000057;12;Volume 12
500000058;13;Volume 13
500000059;15;Volume 15
500000060;16;Volume 16
500000061;18;Volume 18
500000062;19;Volume 19
500000063;20;Volume 20
500000063;20;Volume 20
500000063;20;Volume 20
500000063;20;Volume 20
500000064;21;Volume 21
500000064;21;Volume 21
500000065;22;Volume 22
500000066;24;Volume 24
500000066;24;Volume 24
500000067;25;Volume 25
500000067;25;Volume 25
500000068;26;Volume 26
500000068;26;Volume 26
500000069;27;Volume 27
500000070;28;Volume 28
500000070;28;Volume 28
500000070;28;Volume 28
500000070;28;Volume 28
500000070;28;Volume 28
500000071;29;Volume 29
500000072;32;Volume 32
500000073;45;Volume 45
500000074;53;Volume 53
500000075;56;Volume 56
500000076;59;Volume 59
500000077;63;Volume 63
500000078;67;Volume 67
500000079;72;Volume 72
500000080;74;Volume 74
500000081;75;Volume 75
500000081;75;Volume 75
500000082;76;Volume 76
500000083;78;Volume 78
500000083;78;Volume 78
500000084;79;Volume 79
500000085;80;Volume 80
500000085;80;Volume 80
500000086;81;Volume 81
500000087;86;Volume 86
500000088;89;Volume 89
500000089;93;Volume 93
500000090;94;Volume 94
500000090;94;Volume 94
500000090;94;Volume 94
500000090;94;Volume 94
500000091;27;Volume 27
500000092;31;Volume 31
500000093;32;Volume 32
500000094;33;Volume 33
500000095;34;Volume 34
500000096;35;Volume 35
500000096;35;Volume 35
500000097;10;Volume 10
500000098;11;Volume 11
500000099;19;Volume 19
500000099;19;Volume 19
500000099;19;Volume 19
500000100;20;Volume 20
500000100;20;Volume 20
500000101;23;Volume 23
500000102;26;Volume 26
500000103;27;Volume 27
500000104;30;Volume 30
500000105;32;Volume 32
500000106;33;Volume 33
500000107;35;Volume 35
500000108;44;Volume 44
500000109;45;Volume 45
500000110;56;Volume 56
500000111;65;Volume 65
