paper_id:START_ID;volume_id:string;pages:string;year:int
154;500000000;35-63;1971
1141;500000000;290-306;1972
1183;500000000;173-189;1972
1284;500000000;271-281;1972
1365;500000000;115-138;1971
560;500000001;293-309;1973
1409;500000001;335-355;1973
251;500000002;347-355;1974
75;500000003;01-Sep;1974
126;500000003;107-116;1975
834;500000004;297-332;1975
1089;500000004;273-285;1975
1266;500000004;1-236;1975
1297;500000004;287-295;1975
566;500000005;89-94;1976
1096;500000005;41-60;1976
1400;500000005;319-340;1976
176;500000006;197-216;1976
563;500000007;303-314;1977
992;500000007;97-112;1977
403;500000008;Jan-21;1977
512;500000008;23-29;1977
1083;500000008;159-170;1978
8;500000009;297-305;1978
200;500000010;155-168;1980
329;500000010;39-52;1980
634;500000011;63-86;1980
849;500000011;195-220;1980
1155;500000011;337-357;1980
276;500000012;281-302;1981
358;500000012;Mar-17;1981
1100;500000012;99-113;1981
584;500000013;Jan-13;1981
906;500000013;371-426;1981
616;500000014;267-285;1982
1348;500000014;221-243;1982
1359;500000014;157-184;1982
295;500000015;227-253;1982
307;500000015;345-359;1982
321;500000016;35-55;1983
718;500000016;01-Nov;1983
989;500000016;305-324;1983
252;500000017;249-260;1983
693;500000017;59-101;1983
787;500000017;159-170;1983
844;500000017;329-344;1983
918;500000017;143-158;1983
1014;500000017;345-369;1983
151;500000018;271-291;1984
762;500000019;125-138;1985
841;500000020;105-119;1987
745;500000021;475-496;1988
684;500000022;439-471;1989
1256;500000022;615-642;1989
144;500000023;423-452;1990
355;500000023;453-480;1990
518;500000023;195-215;1990
805;500000023;179-191;1989
448;500000024;631-656;1991
1488;500000024;365-407;1991
424;500000025;281-302;1992
432;500000025;335-373;1992
1150;500000026;215-231;1993
65;500000027;513-524;1994
1050;500000027;741-760;1994
1053;500000028;285-298;1995
332;500000029;Jan-20;1996
758;500000029;351-385;1996
365;500000030;167-189;1997
1472;500000030;135-149;1997
1276;500000031;599-619;2002
313;500000032;307-314;2003
95;500000033;131-145;2006
458;500000033;521-533;2007
1097;500000034;549-559;2009
814;500000035;397-408;2011
2084;500000036;191-195;2010
1881;500000037;81-86;2011
1778;500000038;Nov-18;2015
1707;500000039;42-49;2016
1992;500000040;May-14;2016
2716;500000041;33-48;2001
2998;500000042;69-81;2004
2825;500000043;235-259;2005
3587;500000043;905-917;2005
3399;500000044;690-710;2006
2351;500000045;660-671;2008
3419;500000046;852-862;2010
3633;500000047;854-863;2011
3645;500000048;723-730;2012
2258;500000049;622-635;2014
2952;500000050;110-118;2015
2693;500000051;Jan-15;2016
2924;500000052;128-137;2016
3763;500000053;241-263;2004
8038;500000054;133-144;1988
6274;500000055;87-95;1989
7916;500000056;49-63;1990
7565;500000057;357-369;1997
4696;500000058;231-242;1997
4417;500000059;75-86;1999
4541;500000060;;1999
6209;500000061;807-812;2002
6949;500000062;1349-1361;2003
6395;500000063;605-625;2004
6963;500000063;951-958;2004
7698;500000063;81-100;2004
7823;500000063;1241-1250;2004
6236;500000064;239-247;2005
6661;500000064;1312-1321;2005
5989;500000065;336-346;2006
4194;500000066;46-57;2008
5533;500000066;58-65;2008
5034;500000067;281-289;2009
6295;500000067;268-274;2009
5429;500000068;424-433;2010
5454;500000068;1393-1402;2010
4430;500000069;725-736;2011
4002;500000070;743-744;2012
4236;500000070;573-582;2012
5973;500000070;39-47;2012
6086;500000070;527-532;2012
7600;500000070;1158-1167;2012
5579;500000071;1573-1582;2013
6948;500000072;128-137;2014
4127;500000073;01-Dec;2015
5955;500000074;140-151;2015
6160;500000075;140-152;2016
4544;500000076;63-92;2016
7751;500000077;96-99;2016
6660;500000078;22-34;2017
